GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_001641285.1	Dyella thiooxydans
GCF_001642655.1	Clostridium tyrobutyricum
GCF_001643955.1	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260
GCF_001643975.1	Campylobacter hyointestinalis subsp. lawsonii
GCF_001644565.1	Deinococcus puniceus
GCF_001644665.1	Fervidobacterium pennivorans
GCF_001644685.1	Methylomonas sp. DH-1
GCF_001647635.1	Leifsonia xyli
GCF_001647715.1	Pseudomonas antarctica
GCF_001648175.1	Halotalea alkalilenta
GCF_001650215.1	Streptomyces sp. RTd22
GCF_001652465.1	Microbacterium chocolatum
GCF_001652485.1	Ochrobactrum pseudogrignonense
GCF_001652505.1	Lelliottia amnigena
GCF_001652565.1	Shinella sp. HZN7
GCF_001653935.1	Ralstonia insidiosa
GCF_001654495.1	Streptomyces sp. SAT1
GCF_001655245.1	Mycobacterium vaccae 95051
GCF_001655615.1	Pseudomonas sp. GR 6-02
GCF_001658025.1	Kosakonia oryzae
GCF_001660045.1	Streptomyces parvulus
GCF_001661075.1	Pseudomonas sp. A3(2016)
GCF_001663835.1	Lactobacillus curvatus
GCF_001664085.1	Rhizobium sp. N1341
GCF_001664485.1	Rhizobium sp. N324
GCF_001676765.1	Mesorhizobium loti NZP2037
GCF_001677275.1	Vibrio breoganii
GCF_001678905.1	Dermabacter vaginalis
GCF_001678945.1	Phaeobacter gallaeciensis
GCF_001687565.2	Planococcus antarcticus DSM 14505
GCF_001687585.2	Planococcus halocryophilus
GCF_001687665.2	Planococcus donghaensis
GCF_001687805.1	Vibrio scophthalmi
GCF_001688625.1	Flavonifractor plautii
GCF_001688665.1	Lachnoclostridium sp. YL32
GCF_001688725.1	Bacteroides caecimuris
GCF_001688965.1	Erysipelotrichaceae bacterium I46
GCF_001689125.1	Blautia sp. YL58
GCF_001693255.1	Synechococcus sp. PCC 7003
GCF_001693385.1	Bradyrhizobium icense
GCF_001693675.1	Streptomyces clavuligerus
GCF_900011245.1	Bradyrhizobium sp.
GCF_900078695.1	Bordetella trematum
GCF_900086555.1	Neisseria weaveri
GCF_900087055.1	Plesiomonas shigelloides
