	s	c	o	f	n
GCF_000875755.1_ASM87575v1_protein.faa.named.faa	0.1	0.05	0.04	0.03	0.0
GCF_000019445.1_ASM1944v1_protein.faa.named.faa	0.04	0.04	0.35	0.72	0.69
GCF_001466725.1_ASM146672v1_protein.faa.named.faa	0.03	0.03	0.26	0.8	0.54
GCF_000970305.1_ASM97030v1_protein.faa.named.faa	0.37	0.92	0.53	0.07	0.5
GCF_000499645.1_IRBG74_protein.faa.named.faa	0.32	0.05	0.59	0.73	0.8
GCF_001046955.1_ASM104695v1_protein.faa.named.faa	0.29	0.07	0.33	0.61	0.74
GCF_000265505.1_ASM26550v1_protein.faa.named.faa	0.09	0.02	0.21	0.41	0.42
GCF_001010785.1_ASM101078v1_protein.faa.named.faa	0.05	0.04	0.31	0.54	0.73
GCF_000144695.1_ASM14469v1_protein.faa.named.faa	0.29	0.17	0.22	0.06	0.34
GCF_000801315.1_ASM80131v1_protein.faa.named.faa	0.03	0.01	0.19	0.49	0.52
GCF_000023345.1_ASM2334v1_protein.faa.named.faa	0.2	0.17	0.43	0.38	0.76
GCF_000018005.1_ASM1800v1_protein.faa.named.faa	0.05	0.07	0.59	0.27	0.8
GCF_000027325.1_ASM2732v1_protein.faa.named.faa	0.12	0.13	0.0	0.05	0.24
GCF_000006785.2_ASM678v2_protein.faa.named.faa	0.25	0.01	0.03	0.02	0.03
GCF_000495505.1_ASM49550v1_protein.faa.named.faa	0.26	0.06	0.22	0.78	0.54
GCF_000251105.1_ASM25110v1_protein.faa.named.faa	0.43	0.79	0.32	0.08	0.39
GCF_000696485.1_ASM69648v1_protein.faa.named.faa	0.11	0.02	0.33	0.51	0.63
GCF_000176935.3_ASM17693v3_protein.faa.named.faa	0.11	0.19	0.65	0.5	0.81
GCF_000196515.1_ASM19651v1_protein.faa.named.faa	0.17	0.11	0.7	0.31	0.68
GCF_000013445.1_ASM1344v1_protein.faa.named.faa	0.32	0.86	0.42	0.1	0.42
GCF_000233775.1_ASM23377v1_protein.faa.named.faa	0.24	0.09		0.13	0.26
GCF_000217715.1_ASM21771v1_protein.faa.named.faa	0.13	0.13	0.29	0.12	0.62
GCF_000008265.1_ASM826v1_protein.faa.named.faa	0.12	0.03	0.18	0.24	0.49
GCF_000184745.1_ASM18474v1_protein.faa.named.faa	0.19	0.08	0.43	0.38	0.73
GCF_000072485.1_ASM7248v1_protein.faa.named.faa	0.02	0.04	0.16	0.41	0.57
GCF_000953135.1_LFA_protein.faa.named.faa	0.26	0.01	0.16	0.62	0.5
GCF_000061505.1_ASM6150v1_protein.faa.named.faa	0.11	0.08	0.6	0.88	0.79
GCF_001693255.1_ASM169325v1_protein.faa.named.faa	0.24	0.1	0.76	0.38	0.69
GCF_000215105.1_ASM21510v1_protein.faa.named.faa	0.31	0.02	0.3	0.24	0.61
GCF_000163895.2_ASM16389v2_protein.faa.named.faa	0.04	0.0		0.09	0.12
GCF_000177635.2_ASM17763v2_protein.faa.named.faa	0.27	0.1	0.52	0.61	0.62
GCF_000022385.1_ASM2238v1_protein.faa.named.faa	0.31	0.04	0.24	0.18	0.54
GCF_001547975.1_ASM154797v1_protein.faa.named.faa	0.05	0.08	0.0	0.15	0.01
GCF_000007625.1_ASM762v1_protein.faa.named.faa	0.04	0.08	0.03	0.11	0.27
GCF_000478825.2_ASM47882v2_protein.faa.named.faa	0.25	0.1	0.71	0.36	0.68
GCF_000831005.1_ASM83100v1_protein.faa.named.faa	0.04	0.04	0.11	0.33	0.58
GCF_000014905.1_ASM1490v1_protein.faa.named.faa	0.08	0.06	0.33	0.69	0.75
GCF_000055945.1_ASM5594v1_protein.faa.named.faa	0.19	0.02	0.04	0.41	0.2
GCF_000195335.1_ASM19533v1_protein.faa.named.faa	0.31	0.03	0.29	0.41	0.61
GCF_000009685.1_ASM968v1_protein.faa.named.faa	0.13	0.04		0.06	0.25
GCF_000219045.1_ASM21904v1_protein.faa.named.faa	0.12	0.04	0.01	0.08	0.4
GCF_000023245.1_ASM2324v1_protein.faa.named.faa	0.09	0.04	0.36	0.27	0.71
GCF_001458475.1_KKKWG1_protein.faa.named.faa	0.03	0.03	0.2	0.31	0.48
GCF_000020625.1_ASM2062v1_protein.faa.named.faa	0.49	0.14	0.45	0.57	0.54
GCF_000007585.1_ASM758v1_protein.faa.named.faa	0.01	0.04		0.47	0.2
GCF_000179575.2_ASM17957v2_protein.faa.named.faa	0.38	0.9	0.47	0.07	0.38
GCF_000010045.1_ASM1004v1_protein.faa.named.faa	0.27	0.18	0.45	0.67	0.58
GCF_000194625.1_ASM19462v1_protein.faa.named.faa	0.65	0.35	0.26	0.35	0.43
GCF_000020285.1_ASM2028v1_protein.faa.named.faa	0.12	0.09	0.17	0.06	0.3
GCF_000277715.1_ASM27771v1_protein.faa.named.faa	0.05	0.04	0.02	0.5	0.45
GCF_000470655.1_HATI1_protein.faa.named.faa	0.14	0.11	0.26	0.34	0.49
GCF_001447335.1_ASM144733v1_protein.faa.named.faa	0.13	0.07	0.29	0.91	0.66
GCF_000330865.1_ASM33086v1_protein.faa.named.faa	0.0	0.05	0.34	0.6	0.7
GCF_000021285.1_ASM2128v1_protein.faa.named.faa	0.03	0.03		0.1	0.28
GCF_000093165.1_ASM9316v1_protein.faa.named.faa	0.04	0.03	0.15	0.3	0.13
GCF_000015185.1_ASM1518v1_protein.faa.named.faa	0.14	0.05	0.28	0.96	0.5
GCF_000240325.1_ASM24032v1_protein.faa.named.faa	0.08	0.08	0.46	0.25	0.73
GCF_000091305.1_ASM9130v1_protein.faa.named.faa	0.07	0.04	0.31	0.26	0.72
GCF_000143165.1_ASM14316v1_protein.faa.named.faa	0.26	0.13	0.19	0.43	0.52
GCF_000500935.1_ASM50093v1_protein.faa.named.faa	0.1	0.0	0.04	0.01	0.03
GCF_000446015.1_ASM44601v1_protein.faa.named.faa	0.41	0.1		0.05	0.31
GCF_000152245.2_ASM15224v2_protein.faa.named.faa	0.07	0.19	0.36	0.05	0.33
GCF_000014705.1_ASM1470v1_protein.faa.named.faa	0.13	0.06	0.26	0.92	0.58
GCF_001021385.1_ASM102138v1_protein.faa.named.faa	0.03	0.04	0.37	0.22	0.72
GCF_000376545.2_ASM37654v2_protein.faa.named.faa	0.11	0.06	0.36	0.35	0.65
GCF_000304455.1_CCh_cEper1_protein.faa.named.faa	0.06	0.06	0.05	0.01	0.07
GCF_000195555.1_ASM19555v1_protein.faa.named.faa	0.06	0.02	0.11	0.2	0.43
GCF_000014145.1_ASM1414v1_protein.faa.named.faa	0.05	0.04	0.29	0.59	0.65
GCF_000632475.1_ASM63247v2_protein.faa.named.faa	0.1	0.19	0.58	0.82	0.82
GCF_000009745.1_ASM974v1_protein.faa.named.faa	0.05	0.03	0.28	0.93	0.55
GCF_000023925.1_ASM2392v1_protein.faa.named.faa	0.24	0.12	0.18	0.23	0.39
GCF_000024605.1_ASM2460v1_protein.faa.named.faa	0.77	0.16	0.15	0.43	0.37
GCF_000020385.1_ASM2038v1_protein.faa.named.faa	0.38	0.08	0.31	0.65	0.65
GCF_000270165.1_ASM27016v1_protein.faa.named.faa	0.17	0.0	0.15	0.08	0.14
GCF_000015265.1_ASM1526v1_protein.faa.named.faa	0.15	0.03	0.32	0.33	0.69
GCF_000239975.1_ASM23997v1_protein.faa.named.faa	0.1	0.07	0.2	0.2	0.62
GCF_001652505.1_ASM165250v1_protein.faa.named.faa	0.1	0.07	0.2	0.21	0.63
GCF_000011445.1_ASM1144v1_protein.faa.named.faa	0.1	0.09	0.0	0.03	0.24
GCF_000499765.1_Methanobacterium_protein.faa.named.faa	0.37	0.87	0.4	0.06	0.42
GCF_000198775.1_ASM19877v1_protein.faa.named.faa	0.2	0.04	0.29	0.3	0.61
GCF_001548235.1_ASM154823v1_protein.faa.named.faa	0.02	0.01	0.24	0.08	0.36
GCF_000260965.1_ASM26096v1_protein.faa.named.faa	0.14	0.2	0.33	0.33	0.64
GCF_000742855.1_ASM74285v1_protein.faa.named.faa	0.16	0.05	0.35	0.35	0.64
GCF_000800805.1_ASM80080v1_protein.faa.named.faa	0.23	0.34	0.29	0.05	0.26
GCF_000014505.1_ASM1450v1_protein.faa.named.faa	0.13	0.0	0.07	0.25	0.06
GCF_000015765.1_ASM1576v1_protein.faa.named.faa	0.24	0.83	0.34	0.08	0.4
GCF_000550805.1_ASM55080v1_protein.faa.named.faa	0.07	0.03	0.47	0.31	0.49
GCF_000016265.1_ASM1626v1_protein.faa.named.faa	0.32	0.06	0.37	0.47	0.72
GCF_000340885.1_ASM34088v1_protein.faa.named.faa	0.19	0.15	0.34	0.18	0.47
GCF_000834395.1_ASM83439v1_protein.faa.named.faa	0.08	0.06	0.27	0.62	0.66
GCF_000521525.1_ASM52152v1_protein.faa.named.faa	0.14	0.03	0.24	0.11	0.33
GCF_000550785.1_ASM55078v1_protein.faa.named.faa	0.02	0.01	0.37	0.28	0.45
GCF_000020725.1_ASM2072v1_protein.faa.named.faa	0.3	0.11	0.46	0.89	0.69
GCF_000147815.2_ASM14781v3_protein.faa.named.faa	0.05	0.03	0.32	0.27	0.7
GCF_000018845.1_ASM1884v1_protein.faa.named.faa	0.03	0.21	0.67	0.59	0.78
GCF_000019285.1_ASM1928v1_protein.faa.named.faa	0.13	0.03	0.07	0.03	0.38
GCF_000018685.1_ASM1868v1_protein.faa.named.faa	0.13	0.12	0.18	0.1	0.35
GCF_000731295.1_RG1141_Ch_pA_pB_protein.faa.named.faa	0.21	0.07	0.6	0.38	0.8
GCF_000970325.1_ASM97032v1_protein.faa.named.faa	0.24	0.9	0.5	0.43	0.53
GCF_000299095.1_ASM29909v1_protein.faa.named.faa	0.03	0.09	0.16	0.39	0.48
GCF_000953535.1_E5B_protein.faa.named.faa	0.16	0.02	0.12	0.33	0.26
GCF_000238215.1_ASM23821v1_protein.faa.named.faa	0.0	0.0		0.32	0.18
GCF_000347675.2_ASM34767v2_protein.faa.named.faa	0.15	0.03	0.39	0.74	0.65
GCF_000967915.1_ASM96791v1_protein.faa.named.faa	0.16	0.01		0.08	0.14
GCF_000012725.1_ASM1272v1_protein.faa.named.faa	0.01	0.02	0.43	0.45	0.66
GCF_000009025.1_ASM902v1_protein.faa.named.faa	0.34	0.13	0.11	0.15	0.39
GCF_000758265.1_ASM75826v1_protein.faa.named.faa	0.02	0.05	0.35	0.74	0.74
GCF_000755725.1_ASM75572v1_protein.faa.named.faa	0.06	0.06	0.31	0.52	0.71
GCF_000026685.1_ASM2668v1_protein.faa.named.faa	0.41	0.01	0.31	0.29	0.34
GCF_000011905.1_ASM1190v1_protein.faa.named.faa	0.35	0.22	0.37	0.15	0.42
GCF_000287295.1_ASM28729v1_protein.faa.named.faa	0.02	0.06	0.13	0.07	0.06
GCF_000165465.1_ASM16546v1_protein.faa.named.faa	0.08	0.02		0.11	0.24
GCF_000512915.1_ASM51291v1_protein.faa.named.faa	0.06	0.07	0.07	0.09	0.36
GCF_000020645.1_ASM2064v1_protein.faa.named.faa	0.71	0.14	0.52	0.62	0.55
GCF_001266755.1_ASM126675v1_protein.faa.named.faa	0.35	0.03	0.35	0.23	0.5
GCF_000017225.1_ASM1722v1_protein.faa.named.faa	0.29	0.9	0.37	0.07	0.31
GCF_000761155.1_ASM76115v1_protein.faa.named.faa	0.15	0.05	0.38	0.51	0.66
GCF_000169195.2_ASM16919v2_protein.faa.named.faa	0.16	0.0	0.36	0.41	0.48
GCF_001514355.1_ASM151435v1_protein.faa.named.faa	0.01	0.05	0.35	0.74	0.75
GCF_000292915.1_ASM29291v1_protein.faa.named.faa	0.13	0.05	0.39	0.45	0.75
GCF_001442785.1_ASM144278v1_protein.faa.named.faa	0.18	0.03	0.33	0.4	0.72
GCF_000023445.1_ASM2344v1_protein.faa.named.faa	0.64	0.11	0.45	0.36	0.52
GCF_000009405.1_ASM940v1_protein.faa.named.faa	0.15	0.03	0.23	0.22	0.44
GCF_000970085.1_ASM97008v1_protein.faa.named.faa	0.32	0.93	0.44	0.25	0.55
GCF_000969905.1_ASM96990v1_protein.faa.named.faa	0.37	0.92	0.45	0.04	0.45
GCF_000024765.1_ASM2476v1_protein.faa.named.faa	0.25	0.07	0.51	0.41	0.71
GCF_000196655.1_ASM19665v1_protein.faa.named.faa	0.35	0.9	0.56	0.38	0.52
GCF_001553915.1_ASM155391v1_protein.faa.named.faa	0.2	0.01	0.02	0.0	0.12
GCF_000953355.1_XNC2_protein.faa.named.faa	0.03	0.05	0.32	0.19	0.58
GCF_000236665.1_ASM23666v1_protein.faa.named.faa	0.19	0.08	0.52	0.83	0.76
GCF_000959505.1_ASM95950v1_protein.faa.named.faa	0.19	0.04	0.31	0.45	0.73
GCF_000439455.1_ASM43945v1_protein.faa.named.faa	0.1	0.01	0.01	0.02	0.01
GCF_001433955.1_ASM143395v1_protein.faa.named.faa	0.05	0.03	0.08	0.03	0.2
GCF_000463395.1_ASM46339v1_protein.faa.named.faa	0.27	0.13		0.02	0.06
GCF_000818015.1_ASM81801v1_protein.faa.named.faa	0.2	0.08	0.4	0.79	0.73
GCF_000009625.1_ASM962v1_protein.faa.named.faa	0.08	0.08	0.58	0.37	0.79
GCF_000013745.1_ASM1374v1_protein.faa.named.faa	0.06	0.13	0.62	0.89	0.79
GCF_000011025.1_ASM1102v1_protein.faa.named.faa	0.02	0.0	0.24	0.08	0.35
GCF_000024805.1_ASM2480v1_protein.faa.named.faa	0.05	0.03	0.35	0.68	0.7
GCF_000300235.2_ASM30023v2_protein.faa.named.faa	0.2	0.03	0.38	0.61	0.72
GCF_000260985.3_ASM26098v2_protein.faa.named.faa	0.17	0.19	0.46	0.38	0.68
GCF_000496595.1_ASM49659v1_protein.faa.named.faa	0.01	0.01	0.15	0.07	0.31
GCF_000801295.1_ASM80129v1_protein.faa.named.faa	0.67	0.08	0.28	0.77	0.66
GCF_000017185.1_ASM1718v1_protein.faa.named.faa	0.37	0.91	0.47	0.07	0.38
GCF_000011365.1_ASM1136v1_protein.faa.named.faa	0.13	0.08	0.69	0.76	0.87
GCF_000023905.1_ASM2390v1_protein.faa.named.faa	0.03	0.05	0.07	0.14	0.15
GCF_001294645.1_ASM129464v1_protein.faa.named.faa	0.23	0.04	0.43	0.27	0.72
GCF_001642655.1_ASM164265v1_protein.faa.named.faa	0.08	0.06	0.38	0.1	0.31
GCF_000027085.1_ASM2708v1_protein.faa.named.faa	0.13	0.06	0.25	0.59	0.68
GCF_000317555.1_ASM31755v1_protein.faa.named.faa	0.06	0.09	0.67	0.37	0.74
GCF_000243115.2_ASM24311v3_protein.faa.named.faa	0.01	0.03	0.27	0.53	0.61
GCF_001689125.1_ASM168912v1_protein.faa.named.faa	0.22	0.17	0.21	0.07	0.39
GCF_000007145.1_ASM714v1_protein.faa.named.faa	0.26	0.04	0.34	0.54	0.69
GCF_000182745.2_ASM18274v1_protein.faa.named.faa	0.18	0.03	0.34	0.59	0.62
GCF_000734015.1_ASM73401v1_protein.faa.named.faa	0.65	0.16	0.2	0.53	0.46
GCF_001477625.1_ASM147762v1_protein.faa.named.faa	0.09	0.04	0.31	0.77	0.73
GCF_000143885.2_ASM14388v2_protein.faa.named.faa	0.23	0.03	0.43	0.2	0.66
GCF_000021885.1_ASM2188v1_protein.faa.named.faa	0.16	0.01		0.48	0.29
GCF_000953655.1_LHA_protein.faa.named.faa	0.23	0.01	0.22	0.51	0.53
GCF_000226295.1_ASM22629v1_protein.faa.named.faa	0.11	0.09	0.46	0.62	0.59
GCF_000217795.1_ASM21779v1_protein.faa.named.faa	0.65	0.24	0.43	0.52	0.5
GCF_000764535.1_ASM76453v1_protein.faa.named.faa	0.25	0.03	0.26	0.55	0.67
GCF_000012585.1_ASM1258v1_protein.faa.named.faa	0.7	0.09	0.51	0.71	0.57
GCF_000017625.1_ASM1762v1_protein.faa.named.faa	0.31	0.87	0.47	0.14	0.49
GCF_000085865.1_ASM8586v1_protein.faa.named.faa	0.05	0.08	0.0	0.1	0.01
GCF_000010205.1_ASM1020v1_protein.faa.named.faa	0.04	0.02	0.14	0.36	0.33
GCF_000166095.1_ASM16609v1_protein.faa.named.faa	0.34	0.89	0.48	0.05	0.36
GCF_000025485.1_ASM2548v1_protein.faa.named.faa	0.63	0.14	0.54	0.76	0.67
GCF_000969885.1_ASM96988v1_protein.faa.named.faa	0.33	0.92	0.44	0.11	0.48
GCF_001511755.1_Shine_protein.faa.named.faa	0.14	0.04	0.4	0.73	0.77
GCF_000153165.2_ASM15316v2_protein.faa.named.faa	0.08	0.04	0.3	0.55	0.61
GCF_000011105.1_ASM1110v1_protein.faa.named.faa	0.34	0.08		0.01	0.25
GCF_001077715.1_ASM107771v1_protein.faa.named.faa	0.03	0.02	0.08	0.15	0.3
GCF_000219215.1_ASM21921v1_protein.faa.named.faa	0.08	0.04	0.42	0.69	0.78
GCF_000024965.1_ASM2496v1_protein.faa.named.faa	0.19	0.07	0.22	0.28	0.58
GCF_000287355.1_ASM28735v1_protein.faa.named.faa	0.02	0.0	0.08	0.01	0.05
GCF_001484565.1_ASM148456v1_protein.faa.named.faa	0.17	0.04	0.32	0.26	0.74
GCF_001294425.1_ASM129442v1_protein.faa.named.faa	0.08	0.03	0.42	0.26	0.71
GCF_000021565.1_ASM2156v1_protein.faa.named.faa	0.57	0.1	0.33	0.76	0.62
GCF_000019165.1_ASM1916v1_protein.faa.named.faa	0.32	0.14	0.33	0.62	0.54
GCF_000330885.1_ASM33088v1_protein.faa.named.faa	0.05	0.08	0.59	0.35	0.79
GCF_000164985.3_ASM16498v2_protein.faa.named.faa	0.2	0.04	0.34	0.19	0.45
GCF_000008485.1_ASM848v1_protein.faa.named.faa	0.06	0.02	0.17	0.62	0.46
GCF_000010185.1_ASM1018v1_protein.faa.named.faa	0.04	0.01		0.05	0.2
GCF_000444875.1_ASM44487v1_protein.faa.named.faa	0.05	0.04	0.34	0.27	0.72
GCF_000355675.1_ASM35567v1_protein.faa.named.faa	0.06	0.03	0.39	0.64	0.57
GCF_000023085.1_ASM2308v1_protein.faa.named.faa	0.18	0.01	0.01	0.03	0.14
GCF_000014005.1_ASM1400v1_protein.faa.named.faa	0.23	0.07	0.35	0.6	0.71
GCF_000009045.1_ASM904v1_protein.faa.named.faa	0.12	0.01	0.32	0.32	0.58
GCF_000015865.1_ASM1586v1_protein.faa.named.faa	0.16	0.11	0.46	0.12	0.39
GCF_000316515.1_ASM31651v1_protein.faa.named.faa	0.18	0.09	0.65	0.38	0.69
GCF_001281485.1_ASM128148v1_protein.faa.named.faa	0.03	0.04	0.32	0.45	0.62
GCF_000155675.2_ASM15567v2_protein.faa.named.faa	0.04	0.05	0.44	0.38	0.72
GCF_000196275.1_ASM19627v1_protein.faa.named.faa	0.05	0.03	0.31	0.38	0.67
GCF_000734895.2_ASM73489v2_protein.faa.named.faa	0.2	0.13	0.65	0.36	0.8
GCF_000015665.1_ASM1566v1_protein.faa.named.faa	0.12	0.08	0.63	0.28	0.44
GCF_000786695.1_ASM78669v1_protein.faa.named.faa	0.14	0.07	0.4	0.37	0.73
GCF_000012465.1_ASM1246v1_protein.faa.named.faa	0.17	0.06	0.78	0.33	0.5
GCF_001021935.1_ASM102193v1_protein.faa.named.faa	0.28	0.04	0.33	0.43	0.68
GCF_000020365.1_ASM2036v1_protein.faa.named.faa	0.56	0.19	0.45	0.66	0.61
GCF_000286275.1_ASM28627v1_protein.faa.named.faa	0.12	0.07	0.26	0.23	0.65
GCF_000015285.1_ASM1528v1_protein.faa.named.faa	0.01	0.04	0.4	0.65	0.58
GCF_000016725.1_ASM1672v1_protein.faa.named.faa	0.15	0.06	0.31	0.37	0.65
GCF_000819565.1_ASM81956v1_protein.faa.named.faa	0.15	0.08	0.36	0.38	0.68
GCF_000196215.1_ASM19621v1_protein.faa.named.faa	0.15	0.05	0.05	0.13	0.03
GCF_000215995.1_ASM21599v1_protein.faa.named.faa	0.49	0.13		0.04	0.27
GCF_000025565.1_ASM2556v1_protein.faa.named.faa	0.11	0.07	0.2	0.2	0.62
GCF_000300255.2_ASM30025v2_protein.faa.named.faa	0.25	0.33	0.46	0.05	0.39
GCF_001687585.2_ASM168758v2_protein.faa.named.faa	0.19	0.02	0.31	0.34	0.45
GCF_000236405.1_ASM23640v1_protein.faa.named.faa	0.03	0.2	0.14	0.43	0.12
GCF_000508205.1_ASM50820v1_protein.faa.named.faa	0.07	0.04	0.33	0.53	0.75
GCF_000166075.1_ASM16607v1_protein.faa.named.faa	0.27	0.1	0.29	0.4	0.65
GCF_000012345.1_ASM1234v1_protein.faa.named.faa	0.01	0.03	0.2	0.4	0.5
GCF_000194605.1_ASM19460v1_protein.faa.named.faa	0.21	0.01	0.2	0.42	0.43
GCF_001443605.1_ASM144360v1_protein.faa.named.faa	0.21	0.04	0.09	0.6	0.41
GCF_000350305.1_ASM35030v1_protein.faa.named.faa	0.23	0.29	0.24	0.07	0.3
GCF_000477415.1_ASM47741v1_protein.faa.named.faa	0.01	0.02	0.0	0.07	0.01
GCF_000478905.1_ASM47890v1_protein.faa.named.faa	0.15	0.06	0.19	0.06	0.35
GCF_000817975.1_ASM81797v1_protein.faa.named.faa	0.13	0.09	0.5	0.61	0.76
GCF_000299995.1_ASM29999v1_protein.faa.named.faa	0.15	0.03	0.36	0.65	0.5
GCF_000018285.1_ASM1828v1_protein.faa.named.faa	0.11	0.05	0.27	0.94	0.57
GCF_000463015.1_ASM46301v1_protein.faa.named.faa	0.02	0.17	0.42	0.36	0.74
GCF_000020045.1_ASM2004v1_protein.faa.named.faa	0.05	0.21	0.55	0.45	0.82
GCF_000941075.1_ASM94107v1_protein.faa.named.faa	0.07	0.09	0.0	0.05	0.16
GCF_000200595.1_ASM20059v1_protein.faa.named.faa	0.23	0.05	0.16	0.7	0.43
GCF_000209655.1_ASM20965v1_protein.faa.named.faa	0.21	0.04	0.32	0.34	0.67
GCF_000724775.3_ASM72477v3_protein.faa.named.faa	0.08	0.02	0.21	0.38	0.51
GCF_001263175.1_ASM126317v1_protein.faa.named.faa	0.05	0.02	0.14	0.58	0.5
GCF_000230695.2_ASM23069v3_protein.faa.named.faa	0.11	0.06	0.29	0.45	0.63
GCF_000262715.1_ASM26271v1_protein.faa.named.faa	0.04	0.03	0.15	0.3	0.13
GCF_000020865.1_ASM2086v1_protein.faa.named.faa	0.29	0.07	0.15	0.46	0.59
GCF_000012845.1_ASM1284v1_protein.faa.named.faa	0.07	0.03	0.12	0.47	0.36
GCF_000019845.1_ASM1984v1_protein.faa.named.faa	0.04	0.06	0.6	0.66	0.8
GCF_000970265.1_ASM97026v1_protein.faa.named.faa	0.34	0.92	0.47	0.22	0.47
GCF_000835165.1_ASM83516v1_protein.faa.named.faa	0.08	0.01	0.44	0.23	0.46
GCF_000021425.1_ASM2142v1_protein.faa.named.faa	0.04	0.01	0.16	0.12	0.15
GCF_001262055.1_ASM126205v1_protein.faa.named.faa	0.01	0.0		0.03	0.29
GCF_000023725.1_ASM2372v1_protein.faa.named.faa	0.08	0.0	0.1	0.33	0.41
GCF_000016665.1_ASM1666v1_protein.faa.named.faa	0.32	0.09	0.48	0.36	0.65
GCF_000300005.1_ASM30000v1_protein.faa.named.faa	0.15	0.03	0.43	0.73	0.63
GCF_000981545.1_Y1_protein.faa.named.faa	0.33	0.17	0.4	0.69	0.72
GCF_001020955.1_ASM102095v1_protein.faa.named.faa	0.32	0.07	0.33	0.37	0.65
GCF_000014045.1_ASM1404v1_protein.faa.named.faa	0.2	0.11	0.54	0.63	0.78
GCF_000196475.1_ASM19647v1_protein.faa.named.faa	0.02	0.06	0.31	0.21	0.59
GCF_001308145.2_ASM130814v2_protein.faa.named.faa	0.18	0.0	0.08	0.11	0.07
GCF_000170955.2_ASM17095v2_protein.faa.named.faa	0.15	0.05	0.05	0.13	0.03
GCF_000237085.1_ASM23708v1_protein.faa.named.faa	0.13	0.16	0.46	0.09	0.41
GCF_000231405.2_ASM23140v3_protein.faa.named.faa	0.24	0.16	0.21	0.68	0.55
GCF_000175935.2_ASM17593v2_protein.faa.named.faa	0.04	0.09	0.56	0.63	0.78
GCF_000017005.1_ASM1700v1_protein.faa.named.faa	0.16	0.13	0.0	0.06	0.1
GCF_000019945.1_ASM1994v1_protein.faa.named.faa	0.07	0.2	0.66	0.57	0.78
GCF_001644565.1_ASM164456v1_protein.faa.named.faa	0.06	0.03	0.35	0.29	0.63
GCF_000224985.1_ASM22498v1_protein.faa.named.faa	0.03	0.02	0.16	0.07	0.08
GCF_000523235.1_ASM52323v1_protein.faa.named.faa	0.04	0.04	0.42	0.27	0.72
GCF_000012385.1_ASM1238v1_protein.faa.named.faa	0.01	0.01	0.18	0.36	0.33
GCF_000287215.2_ASM28721v3_protein.faa.named.faa	0.06	0.05	0.27	0.79	0.68
GCF_000807225.1_ASM80722v1_protein.faa.named.faa	0.07	0.02	0.26	0.43	0.5
GCF_000225325.1_ASM22532v1_protein.faa.named.faa	0.16	0.0	0.05	0.0	0.05
GCF_000332115.1_ASM33211v1_protein.faa.named.faa	0.23	0.22	0.22	0.31	0.29
GCF_000271405.2_ASM27140v2_protein.faa.named.faa	0.03	0.08	0.14	0.06	0.14
GCF_000006745.1_ASM674v1_protein.faa.named.faa	0.02	0.04	0.26	0.77	0.52
GCF_000014825.1_ASM1482v1_protein.faa.named.faa	0.11	0.14	0.71	0.97	0.82
GCF_000020165.1_ASM2016v1_protein.faa.named.faa	0.11	0.04	0.15	0.11	0.32
GCF_000027345.1_ASM2734v1_protein.faa.named.faa	0.11	0.14	0.0	0.03	0.16
GCF_000186225.1_ASM18622v1_protein.faa.named.faa	0.02	0.05	0.09	0.13	0.31
GCF_000145235.1_ASM14523v1_protein.faa.named.faa	0.15	0.02	0.33	0.27	0.71
GCF_000367205.1_ASM36720v1_protein.faa.named.faa	0.07	0.01	0.29	0.37	0.54
GCF_001189295.1_ASM118929v1_protein.faa.named.faa	0.11	0.02	0.24	0.47	0.66
GCF_001318295.1_ASM131829v1_protein.faa.named.faa	0.0	0.07	0.24	0.31	0.18
GCF_001021045.1_ASM102104v1_protein.faa.named.faa	0.07	0.02	0.36	0.29	0.43
GCF_001443645.1_ASM144364v1_protein.faa.named.faa	0.18	0.05	0.01	0.03	0.14
GCF_000176915.2_ASM17691v2_protein.faa.named.faa	0.59	0.14	0.38	0.42	0.48
GCF_001481725.1_ASM148172v1_protein.faa.named.faa	0.09	0.22	0.35	0.05	0.36
GCF_000225465.1_ASM22546v1_protein.faa.named.faa	0.13	0.02	0.24	0.1	0.33
GCF_000008585.1_ASM858v1_protein.faa.named.faa	0.13	0.04	0.33	0.2	0.69
GCF_000212695.1_ASM21269v1_protein.faa.named.faa	0.0	0.03	0.32	0.31	0.67
GCF_000021265.1_ASM2126v1_protein.faa.named.faa	0.12	0.11	0.0	0.03	0.41
GCF_000010545.1_ASM1054v1_protein.faa.named.faa	0.07	0.04	0.31	0.45	0.73
GCF_000063525.1_ASM6352v1_protein.faa.named.faa	0.18	0.09	0.77	0.33	0.63
GCF_000691605.1_ASM69160v1_protein.faa.named.faa	0.01	0.01	0.11	0.6	0.52
GCF_001586255.1_ASM158625v1_protein.faa.named.faa	0.12	0.03	0.41	0.63	0.59
GCF_000317045.1_ASM31704v1_protein.faa.named.faa	0.2	0.12	0.73	0.39	0.72
GCF_001028625.1_ASM102862v1_protein.faa.named.faa	0.38	0.01	0.27	0.41	0.58
GCF_000143845.1_ASM14384v1_protein.faa.named.faa	0.01	0.0	0.04	0.09	0.11
GCF_001664485.1_ASM166448v1_protein.faa.named.faa	0.17	0.05	0.6	0.4	0.8
GCF_000092465.1_ASM9246v1_protein.faa.named.faa	0.42	0.09		0.14	0.22
GCF_000284515.1_ASM28451v1_protein.faa.named.faa	0.08	0.02	0.4	0.34	0.47
